code,type,name,branch1,semester1,branch2,semester2,branch3,semester3,classroom_code1,classroom_code2,classroom_code3,faculty1,faculty2,faculty3,theory,tutorial,lab,lab_name
CS352/EC359/PH351,e,ece7_ele,ECE,Sem_5,NA,NA,NA,NA,C701,NA,NA,Dr.RajemdraHegadi,Dr.JagadeeshaRBhat,Dr.Aswath,3,1,0,CS_LAB
MA201,c,Probability,CSE,Sem_3_A,NA,NA,NA,NA,C201,NA,NA,Dr.Lakshman,NA,NA,3,1,0,CS_LAB
CS201,c,Discretemathematics,CSE,Sem_3_A,NA,NA,NA,NA,C201,NA,NA,Dr.PrabhuPrasad,NA,NA,3,1,0,CS_LAB
CS207,c,objectorientedprog,CSE,Sem_3_A,NA,NA,NA,NA,C201,NA,NA,Dr.Vivekraj,NA,NA,3,0,2,CS_LAB
EC105,c,Computer_Archit,CSE,Sem_3_A,NA,NA,NA,NA,C201,NA,NA,Dr.PramodYelmewad,NA,NA,3,0,2,CS_LAB
CS202,c,Designandanalysisofalgorithms,CSE,Sem_3_A,NA,NA,NA,NA,C201,NA,NA,Dr.MalayKumar,NA,NA,3,1,2,CS_LAB
MA201,c,Probability,CSE,Sem_3_B,NA,NA,NA,NA,C202,NA,NA,Dr.Lakshman,NA,NA,3,1,0,CS_LAB
CS201,c,Discretemathematics,CSE,Sem_3_B,NA,NA,NA,NA,C202,NA,NA,Dr.PawanKumar,NA,NA,3,1,0,CS_LAB
CS207,c,objectorientedprog,CSE,Sem_3_B,NA,NA,NA,NA,C202,NA,NA,CSNF1,NA,NA,3,0,2,CS_LAB
EC105,c,Computer_Archit,CSE,Sem_3_B,NA,NA,NA,NA,C202,NA,NA,Dr.PrabhuPrasad,NA,NA,3,0,2,CS_LAB
CS202,c,Designandanalysisofalgorithms,CSE,Sem_3_B,NA,NA,NA,NA,C202,NA,NA,CSNF2,NA,NA,3,1,2,CS_LAB
HS206,e,Psychology/lifeskill/soc,CSE,Sem_3_A,CSE,Sem_3_B,NA,NA,C201,C202,NA,ODNF1,ODNF2,ODNF3,3,1,0,CS_LAB
CS309,c,StatisticsofCS,CSE,Sem_5_A,NA,NA,NA,NA,C203,NA,NA,Dr.RameshAthe,NA,NA,3,1,0,CS_LAB
CS303,c,ComputerNetworks,CSE,Sem_5_A,NA,NA,NA,NA,C203,NA,NA,Dr.RadhikaB.S,NA,NA,3,1,2,CS_LAB
CS304,c,AI,CSE,Sem_5_A,NA,NA,NA,NA,C203,NA,NA,Dr.Jaylakshmi,NA,NA,3,1,0,CS_LAB
5TB1,e,ele1_sem5,CSE,Sem_5_A,CSE,Sem_5_B,NA,NA,C203,C204,NA,Dr.Sadhvi,Dr.PawanKumar,Dr.RadhikaB.S,3,1,0,CS_LAB
5ELE1,e,ele2_sem5,CSE,Sem_5_A,CSE,Sem_5_B,NA,NA,C203,C204,NA,Dr.Rajendra,Dr.JagadeeshaRBhat,Dr.AswathBabu,3,1,0,CS_LAB
CS309,c,StatisticsofCS,CSE,Sem_5_B,NA,NA,NA,NA,C204,NA,NA,Dr.RameshAthe,NA,NA,3,1,0,CS_LAB
CS303,c,ComputerNetworks,CSE,Sem_5_B,NA,NA,NA,NA,C204,NA,NA,Dr.Sadhvi,NA,NA,3,1,2,CS_LAB
CS304,c,AI,CSE,Sem_5_B,NA,NA,NA,NA,C204,NA,NA,CSNF3,NA,NA,3,1,0,CS_LAB
CS461,e,CloudSecurity,CSE,Sem_7,NA,NA,NA,NA,C205,NA,NA,Dr.MalayKumar,NA,NA,3,0,0,CS_LAB
CS462,e,ComputerGraphics,CSE,Sem_7,NA,NA,NA,NA,C205,NA,NA,Dr.Vivekraj,NA,NA,3,0,2,CS_LAB
DS451,e,SystemsandBigDataanalytics,CSE,Sem_7,NA,NA,NA,NA,C205,NA,NA,Dr.Animesh,NA,NA,3,1,0,CS_LAB
CS463,e,ParallelComputing,CSE,Sem_7,NA,NA,NA,NA,C205,NA,NA,Dr.PramodYelmewad,NA,NA,3,1,0,CS_LAB
MA452,e,OperationalResearch,CSE,Sem_7,ECE,Sem_7,NA,NA,C205,C801,NA,Dr.Gokulraj,NA,NA,3,1,0,CS_LAB
MA453,e,ComputationalLinearAlgebrawithApplications,CSE,Sem_7,ECE,Sem_7,NA,NA,C205,C801,NA,Dr.TanaySaha,NA,NA,3,1,0,CS_LAB
CS451,e,DeepLearning,CSE,Sem_7,ECE,Sem_7,NA,NA,C205,C801,NA,Dr.DeepakKT,NA,NA,3,1,0,CS_LAB
CS460,e,GameTheoryinComputerScience,CSE,Sem_7,ECE,Sem_7,NA,NA,C205,C801,NA,Dr.Gokulraj,NA,NA,3,1,0,CS_LAB
CS498,e,Mini-Project-2,CSE,Sem_7,NA,NA,NA,NA,C205,NA,NA,None,NA,NA,0,0,0,CS_LAB
EC459,e,MachineLearningforBiomedicalSignalAnalysis,ECE,Sem_7,NA,NA,NA,NA,C801,NA,NA,Dr.Sibasankar,NA,NA,3,1,0,CS_LAB
EC458,e,StatisticalSignalProcessing,ECE,Sem_7,NA,NA,NA,NA,C801,NA,NA,Dr.Chinmayananda,NA,NA,3,1,0,CS_LAB
DS201,c,DataandBusinessAnalytics,DSAI,Sem_3,NA,NA,NA,NA,C501,NA,NA,Dr.RajibSharma,NA,NA,3,0,0,CS_LAB
CS201,c,DiscreteMathematics,DSAI,Sem_3,NA,NA,NA,NA,C501,NA,NA,Dr.HariprasadHS,NA,NA,3,1,0,CS_LAB
CS207,c,ObjectOrientedProgramming,DSAI,Sem_3,NA,NA,NA,NA,C501,NA,NA,Dr.ManjunathV,NA,NA,3,0,2,CS_LAB
HS201,c,IndustrialPsychology,DSAI,Sem_3,NA,NA,NA,NA,C501,NA,NA,Ms.AnushreeK,NA,NA,3,0,0,CS_LAB
CS202,c,DesignandAnalysisofAlgorithms,DSAI,Sem_3,NA,NA,NA,NA,C501,NA,NA,Dr.SunilSaumya,NA,NA,3,1,2,CS_LAB
HS202,c,Ethics,DSAI,Sem_3,NA,NA,NA,NA,C501,NA,NA,Dr.RajeshNS,NA,NA,3,0,0,CS_LAB
DS204,c,GraphsandSocialNetworks,DSAI,Sem_5,NA,NA,NA,NA,C601,NA,NA,Dr.Utkarsh,NA,NA,3,1,0,CS_LAB
DS205,c,ComputerCommunicationNetworks,DSAI,Sem_5,NA,NA,NA,NA,C601,NA,NA,Dr.RajibSharma,NA,NA,3,1,2,CS_LAB
DS206,c,AlgorithmsandArtificialIntelligence,DSAI,Sem_5,NA,NA,NA,NA,C601,NA,NA,Ms.Animesh,NA,NA,3,1,0,CS_LAB
DS207,c,MachineLearning,DSAI,Sem_5,NA,NA,NA,NA,C601,NA,NA,Dr.SunilSaumya,NA,NA,3,1,0,CS_LAB
DS208,c,VisualizationandAppDevelopment,DSAI,Sem_5,NA,NA,NA,NA,C601,NA,NA,Dr.Manjunath,NA,NA,2,1,2,CS_LAB
HS102,c,ProfessionalCommunication,ECE,Sem_3,NA,NA,NA,NA,C701,NA,NA,Dr.RajeshNS,NA,NA,2,1,0,CS_LAB
MA202,c,LinearAlgebra,ECE,Sem_3,NA,NA,NA,NA,C701,NA,NA,Dr.Anand,NA,NA,3,1,0,CS_LAB
EC207,c,Electromagnetictheory,ECE,Sem_3,NA,NA,NA,NA,C701,NA,NA,Dr.SamenB,NA,NA,3,1,0,CS_LAB
EC206,c,Linearintegratedcircuits,ECE,Sem_3,NA,NA,NA,NA,C701,NA,NA,Dr.PrakashPawar,NA,NA,3,0,2,EC_LAB
EC201,c,SignalsandSystems,ECE,Sem_3,NA,NA,NA,NA,C701,NA,NA,Dr.MukeshKunarMishra,NA,NA,3,1,0,CS_LAB
EC202,c,MPMC,ECE,Sem_3,NA,NA,NA,NA,C701,NA,NA,Dr.Nataraj,NA,NA,3,0,2,CS_LAB
EC306,c,ProfessionalCommunication,ECE,Sem_5,NA,NA,NA,NA,C701,NA,NA,Dr.Chinmayananda,NA,NA,2,1,0,CS_LAB
EC301,c,LinearAlgebra,ECE,Sem_5,NA,NA,NA,NA,C701,NA,NA,Dr.JagadishDN,NA,NA,3,1,0,CS_LAB
HS351,c,Electromagnetictheory,ECE,Sem_5,NA,NA,NA,NA,C701,NA,NA,Dr.AnandBarangi,NA,NA,3,1,0,CS_LAB
EC351,c,Linearintegratedcircuits,ECE,Sem_5,NA,NA,NA,NA,C701,NA,NA,Dr.Utkarsh,NA,NA,3,1,0,EC_LAB
EC357,c,SignalsandSystems,ECE,Sem_5,NA,NA,NA,NA,C701,NA,NA,Dr.MukeshKunarMishra,NA,NA,3,1,0,CS_LAB
